,gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
12,0042400407,19,PT10M15.00S,1,0,,1610612754,,,0,0,0,,0,,,0,v,Pacers Rebound,Rebound,Unknown,1,0,13
13,0042400407,20,PT10M15.00S,1,1610612760,OKC,1631096,Holmgren,C. Holmgren,0,0,0,,0,,,0,h,Holmgren L.B.FOUL (P1.T2) (J.Tiven),Foul,Loose Ball,1,0,14
14,0042400407,22,PT09M59.00S,1,1610612754,IND,1629614,Nembhard,A. Nembhard,-66,9,7,Missed,1,,,0,v,MISS Nembhard 7' Driving Layup,Missed Shot,Driving Layup Shot,1,2,15
15,0042400407,22,PT09M59.00S,1,1610612760,OKC,1631096,Holmgren,C. Holmgren,0,0,0,,0,,,0,h,Holmgren BLOCK (1 BLK),,,1,2,16
16,0042400407,24,PT09M56.00S,1,1610612754,IND,1629614,Nembhard,A. Nembhard,0,0,0,,0,,,0,v,Nembhard REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,17
17,0042400407,25,PT09M54.00S,1,1610612754,IND,1627783,Siakam,P. Siakam,-151,-8,15,Missed,1,,,0,v,MISS Siakam 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,18
18,0042400407,26,PT09M51.00S,1,1610612760,OKC,1628983,Gilgeous-Alexander,S. Gilgeous-Alexander,0,0,0,,0,,,0,h,Gilgeous-Alexander REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,19
19,0042400407,27,PT09M45.00S,1,1610612754,IND,1630174,Nesmith,A. Nesmith,0,0,0,,0,,,0,v,Nesmith P.FOUL (P1.T1) (J.Capers),Foul,Personal,1,0,20
20,0042400407,29,PT09M35.00S,1,1610612760,OKC,1628983,Gilgeous-Alexander,S. Gilgeous-Alexander,-150,-1,15,Made,1,4,5,9,h,Gilgeous-Alexander 15' Pullup Jump Shot (4 PTS),Made Shot,Pullup Jump shot,1,2,21
21,0042400407,30,PT09M21.00S,1,1610612754,IND,1630169,Haliburton,T. Haliburton,-6,0,1,Missed,1,,,0,v,MISS Haliburton 1' Driving Layup,Missed Shot,Driving Layup Shot,1,2,22
22,0042400407,30,PT09M21.00S,1,1610612760,OKC,1628983,Gilgeous-Alexander,S. Gilgeous-Alexander,0,0,0,,0,,,0,h,Gilgeous-Alexander BLOCK (1 BLK),,,1,2,23
23,0042400407,32,PT09M18.00S,1,1610612760,OKC,1631096,Holmgren,C. Holmgren,0,0,0,,0,,,0,h,Holmgren REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,24
24,0042400407,33,PT08M58.00S,1,1610612760,OKC,1631096,Holmgren,C. Holmgren,-47,141,15,Made,1,6,5,11,h,Holmgren 15' Turnaround Jump Shot (2 PTS) (Jal. Williams 1 AST),Made Shot,Turnaround Jump Shot,1,2,25
25,0042400407,35,PT08M33.00S,1,1610612754,IND,1630169,Haliburton,T. Haliburton,-102,229,25,Made,1,6,8,14,v,Haliburton 25' 3PT Jump Shot (3 PTS) (Siakam 1 AST),Made Shot,Jump Shot,1,3,26
26,0042400407,37,PT08M11.00S,1,1610612760,OKC,1631114,Williams,J. Williams,-44,36,6,Missed,1,,,0,h,MISS Jal. Williams 6' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,27
27,0042400407,38,PT08M09.00S,1,1610612754,IND,1629614,Nembhard,A. Nembhard,0,0,0,,0,,,0,v,Nembhard REBOUND (Off:1 Def:1),Rebound,Unknown,1,0,28
28,0042400407,39,PT08M05.00S,1,1610612754,IND,1630169,Haliburton,T. Haliburton,-102,222,24,Made,1,6,11,17,v,Haliburton 24' 3PT Running Jump Shot (6 PTS) (Nembhard 2 AST),Made Shot,Running Jump Shot,1,3,29
29,0042400407,41,PT07M46.00S,1,1610612760,OKC,1629652,Dort,L. Dort,-20,16,3,Made,1,8,11,19,h,Dort 3' Cutting Layup Shot (2 PTS) (Hartenstein 1 AST),Made Shot,Cutting Layup Shot,1,2,30
30,0042400407,43,PT07M32.00S,1,1610612754,IND,1627783,Siakam,P. Siakam,-25,143,15,Missed,1,,,0,v,MISS Siakam 15' Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,2,31
31,0042400407,44,PT07M29.00S,1,1610612760,OKC,1631096,Holmgren,C. Holmgren,0,0,0,,0,,,0,h,Holmgren REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,32
32,0042400407,45,PT07M21.00S,1,1610612754,IND,1630174,Nesmith,A. Nesmith,0,0,0,,0,,,0,v,Nesmith S.FOUL (P2.T2) (J.Tiven),Foul,Shooting,1,0,33
33,0042400407,47,PT07M21.00S,1,1610612760,OKC,1628983,Gilgeous-Alexander,S. Gilgeous-Alexander,0,0,0,,0,9,11,20,h,Gilgeous-Alexander Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,1,0,34
34,0042400407,48,PT07M21.00S,1,1610612760,OKC,1631096,Holmgren,C. Holmgren,0,0,0,,0,,,0,h,SUB: Caruso FOR Holmgren,Substitution,,0,0,35
35,0042400407,49,PT07M21.00S,1,1610612754,IND,1630174,Nesmith,A. Nesmith,0,0,0,,0,,,0,v,SUB: Mathurin FOR Nesmith,Substitution,,0,0,36
36,0042400407,52,PT07M21.00S,1,1610612760,OKC,1628983,Gilgeous-Alexander,S. Gilgeous-Alexander,0,0,0,,0,10,11,21,h,Gilgeous-Alexander Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,1,0,37
